IdDate,Date,Month,Year,Trimester,DayOfWeek
20120608,8/6/2012,junio,2012,2,viernes
20120609,9/6/2012,junio,2012,2,sábado
20120610,10/6/2012,junio,2012,2,domingo
20120611,11/6/2012,junio,2012,2,lunes
20120612,12/6/2012,junio,2012,2,martes
20120613,13/6/2012,junio,2012,2,miércoles
20120614,14/6/2012,junio,2012,2,jueves
20120615,15/6/2012,junio,2012,2,viernes
20120616,16/6/2012,junio,2012,2,sábado
20120617,17/6/2012,junio,2012,2,domingo
20120618,18/6/2012,junio,2012,2,lunes
20120619,19/6/2012,junio,2012,2,martes
20120620,20/6/2012,junio,2012,2,miércoles
20120621,21/6/2012,junio,2012,2,jueves
20120622,22/6/2012,junio,2012,2,viernes
20120623,23/6/2012,junio,2012,2,sábado
20120624,24/6/2012,junio,2012,2,domingo
20120625,25/6/2012,junio,2012,2,lunes
20120626,26/6/2012,junio,2012,2,martes
20120627,27/6/2012,junio,2012,2,miércoles
20120628,28/6/2012,junio,2012,2,jueves
20120629,29/6/2012,junio,2012,2,viernes
20120630,30/6/2012,junio,2012,2,sábado
20120701,1/7/2012,julio,2012,3,domingo
20120702,2/7/2012,julio,2012,3,lunes
20120703,3/7/2012,julio,2012,3,martes
20120704,4/7/2012,julio,2012,3,miércoles
20120705,5/7/2012,julio,2012,3,jueves
20120706,6/7/2012,julio,2012,3,viernes
20120707,7/7/2012,julio,2012,3,sábado
20120708,8/7/2012,julio,2012,3,domingo
20120709,9/7/2012,julio,2012,3,lunes
20120710,10/7/2012,julio,2012,3,martes
20120711,11/7/2012,julio,2012,3,miércoles
20120712,12/7/2012,julio,2012,3,jueves
20120713,13/7/2012,julio,2012,3,viernes
20120714,14/7/2012,julio,2012,3,sábado
20120715,15/7/2012,julio,2012,3,domingo
20120716,16/7/2012,julio,2012,3,lunes
20120717,17/7/2012,julio,2012,3,martes
20120718,18/7/2012,julio,2012,3,miércoles
20120719,19/7/2012,julio,2012,3,jueves
20120720,20/7/2012,julio,2012,3,viernes
20120721,21/7/2012,julio,2012,3,sábado
20120722,22/7/2012,julio,2012,3,domingo
20120723,23/7/2012,julio,2012,3,lunes
20120724,24/7/2012,julio,2012,3,martes
20120725,25/7/2012,julio,2012,3,miércoles
20120726,26/7/2012,julio,2012,3,jueves
20120727,27/7/2012,julio,2012,3,viernes
20120728,28/7/2012,julio,2012,3,sábado
20120729,29/7/2012,julio,2012,3,domingo
20120730,30/7/2012,julio,2012,3,lunes
20120731,31/7/2012,julio,2012,3,martes
20120801,1/8/2012,agosto,2012,3,miércoles
20120802,2/8/2012,agosto,2012,3,jueves
20120803,3/8/2012,agosto,2012,3,viernes
20120804,4/8/2012,agosto,2012,3,sábado
20120805,5/8/2012,agosto,2012,3,domingo
20120806,6/8/2012,agosto,2012,3,lunes
20120807,7/8/2012,agosto,2012,3,martes
20120808,8/8/2012,agosto,2012,3,miércoles
20120809,9/8/2012,agosto,2012,3,jueves
20120810,10/8/2012,agosto,2012,3,viernes
20120811,11/8/2012,agosto,2012,3,sábado
20120812,12/8/2012,agosto,2012,3,domingo
20120813,13/8/2012,agosto,2012,3,lunes
20120814,14/8/2012,agosto,2012,3,martes
20120815,15/8/2012,agosto,2012,3,miércoles
20120816,16/8/2012,agosto,2012,3,jueves
20120817,17/8/2012,agosto,2012,3,viernes
20120818,18/8/2012,agosto,2012,3,sábado
20120819,19/8/2012,agosto,2012,3,domingo
20120820,20/8/2012,agosto,2012,3,lunes
20120821,21/8/2012,agosto,2012,3,martes
20120822,22/8/2012,agosto,2012,3,miércoles
20120823,23/8/2012,agosto,2012,3,jueves
20120824,24/8/2012,agosto,2012,3,viernes
20120825,25/8/2012,agosto,2012,3,sábado
20120826,26/8/2012,agosto,2012,3,domingo
20120827,27/8/2012,agosto,2012,3,lunes
20120828,28/8/2012,agosto,2012,3,martes
20120829,29/8/2012,agosto,2012,3,miércoles
20120830,30/8/2012,agosto,2012,3,jueves
20120831,31/8/2012,agosto,2012,3,viernes
20120901,1/9/2012,septiembre,2012,3,sábado
20120902,2/9/2012,septiembre,2012,3,domingo
20120903,3/9/2012,septiembre,2012,3,lunes
20120904,4/9/2012,septiembre,2012,3,martes
20120905,5/9/2012,septiembre,2012,3,miércoles
20120906,6/9/2012,septiembre,2012,3,jueves
20120907,7/9/2012,septiembre,2012,3,viernes
20120908,8/9/2012,septiembre,2012,3,sábado
20120909,9/9/2012,septiembre,2012,3,domingo
20120910,10/9/2012,septiembre,2012,3,lunes
20120911,11/9/2012,septiembre,2012,3,martes
20120912,12/9/2012,septiembre,2012,3,miércoles
20120913,13/9/2012,septiembre,2012,3,jueves
20120914,14/9/2012,septiembre,2012,3,viernes
20120915,15/9/2012,septiembre,2012,3,sábado
20120916,16/9/2012,septiembre,2012,3,domingo
20120917,17/9/2012,septiembre,2012,3,lunes
20120918,18/9/2012,septiembre,2012,3,martes
20120919,19/9/2012,septiembre,2012,3,miércoles
20120920,20/9/2012,septiembre,2012,3,jueves
20120921,21/9/2012,septiembre,2012,3,viernes
20120922,22/9/2012,septiembre,2012,3,sábado
20120923,23/9/2012,septiembre,2012,3,domingo
20120924,24/9/2012,septiembre,2012,3,lunes
20120925,25/9/2012,septiembre,2012,3,martes
20120926,26/9/2012,septiembre,2012,3,miércoles
20120927,27/9/2012,septiembre,2012,3,jueves
20120928,28/9/2012,septiembre,2012,3,viernes
20120929,29/9/2012,septiembre,2012,3,sábado
20120930,30/9/2012,septiembre,2012,3,domingo
20121001,1/10/2012,octubre,2012,4,lunes
20121002,2/10/2012,octubre,2012,4,martes
20121003,3/10/2012,octubre,2012,4,miércoles
20121004,4/10/2012,octubre,2012,4,jueves
20121005,5/10/2012,octubre,2012,4,viernes
20121006,6/10/2012,octubre,2012,4,sábado
20121007,7/10/2012,octubre,2012,4,domingo
20121008,8/10/2012,octubre,2012,4,lunes
20121009,9/10/2012,octubre,2012,4,martes
20121010,10/10/2012,octubre,2012,4,miércoles
20121011,11/10/2012,octubre,2012,4,jueves
20121012,12/10/2012,octubre,2012,4,viernes
20121013,13/10/2012,octubre,2012,4,sábado
20121014,14/10/2012,octubre,2012,4,domingo
20121015,15/10/2012,octubre,2012,4,lunes
20121016,16/10/2012,octubre,2012,4,martes
20121017,17/10/2012,octubre,2012,4,miércoles
20121018,18/10/2012,octubre,2012,4,jueves
20121019,19/10/2012,octubre,2012,4,viernes
20121020,20/10/2012,octubre,2012,4,sábado
20121021,21/10/2012,octubre,2012,4,domingo
20121022,22/10/2012,octubre,2012,4,lunes
20121023,23/10/2012,octubre,2012,4,martes
20121024,24/10/2012,octubre,2012,4,miércoles
20121025,25/10/2012,octubre,2012,4,jueves
20121026,26/10/2012,octubre,2012,4,viernes
20121027,27/10/2012,octubre,2012,4,sábado
20121028,28/10/2012,octubre,2012,4,domingo
20121029,29/10/2012,octubre,2012,4,lunes
20121030,30/10/2012,octubre,2012,4,martes
20121031,31/10/2012,octubre,2012,4,miércoles
20121101,1/11/2012,noviembre,2012,4,jueves
20121102,2/11/2012,noviembre,2012,4,viernes
20121103,3/11/2012,noviembre,2012,4,sábado
20121104,4/11/2012,noviembre,2012,4,domingo
20121105,5/11/2012,noviembre,2012,4,lunes
20121106,6/11/2012,noviembre,2012,4,martes
20121107,7/11/2012,noviembre,2012,4,miércoles
